fragment,category,weight,subcat
PINGO DOCE,Groceries,192,PINGO DOCE
COMISSAO TRF MBWA,Legal & Administrative Fees,121,
LIDL AGRADECE,Groceries,87,LIDL
VIAVERDE,Car/Gas/Tolls/Parking/repair,64,
ALDI,Groceries,64,ALDI
LEV ATM 6519,Chris Cash Spending,61,
E LECLERC,Groceries,53,LECLERK
LEV ATM 0885,Hella Cash Spending,46,
ATM-0045,Hella Cash Spending,1,
MCDONALD,Restaurants/Dinner Take Out,44,
Colegio Rainha,School Tuition and Fees,42,
FARMACIA,Medical + Birth,40,Pharmacy
IMPOSTO DO SELO,Legal & Administrative Fees,39,
IMPOSTO DO SELO,Legal & Administrative Fees,39,
MINIPRECO,Groceries,36,MINIPRECO
CHILDREN S,"Children's Enrichment Classes",36,Dr. Andreia
****4493,Lessons & Learning,33,IRIS
MIGUEL MEXIA,Groceries,29,
AMAZON,Amazon -- already categorized individulally,29,
Kindle,"Books, mostly hella",27,
MARGARIDA CUNHA,"Children's Enrichment Classes",27,Marg Cunha
IRIS SILVA ROCHA,Lessons & Learning,26,IRIS
IMPOSTO SELO,Legal & Administrative Fees,24,
FF CALDAS,Fitness & Health Hacking,24,Fitness Factory
CONTINENTE,Groceries,23,
PROGRAMA PRESTIGE,Legal & Administrative Fees,22,
OCIDENTAL SAUDE,Health Insurance Premiums,22,
Vodafone,Google Fi + Cell phone,22,
Cidade Logica,Rent,21,
EDP COMERCIAL,Electric,21,
RESPOSTAS INVISIVEIS,"Children's Enrichment Classes",21,J Santos
ITALKI,Lessons & Learning,20,
6519 A8 ,Car/Gas/Tolls/Parking/repair,19,
MB WAY P/ *****9181,Chris Hobbies,19,Nuno
HIPER ,Caldas home wares etc,19,
PRACTICEPORTUGUESE.COM,Lessons & Learning,19,
HELP.MAX.COM,Media Subscriptions,19,
AMERICAN AI,Chris Travel,19,
MEDIS,Medical + Birth,18,
PIMPOES,"Children's Enrichment Classes",18,PIMPOES
CIDENTAL AUTOMVEL,Car/Gas/Tolls/Parking/repair,16,Insurance
WOO,Google Fi + Cell phone,16,Woo
CLINICA,Medical + Birth,16,
NUNO MIGU,Chris Hobbies,16,Nuno
OARHEALTH,Medical + Birth,15,Pharmacy
Cais do Parque,Restaurants/Dinner Take Out,15,
ASHLEY,Groceries,14,
GOLDPET CALDAS,Pets,14,
Disney,Media Subscriptions,14,
BP CALDAS,Car/Gas/Tolls/Parking/repair,13,Gas
GAUCHOS,Restaurants/Dinner Take Out,13,
SPOTIFY,Media Subscriptions,13,
SERVICO BP,Car/Gas/Tolls/Parking/repair,12,Gas
VODAFOLISBOA,Google Fi + Cell phone,12,Vodafone
EVDCR,Hella's Hobbies and Sports,12,Escola Dance
ROBLOX.COM,Family Entertainment,12,
DECATHLON,"Chris Clothing, Shoes, & Accessories",12,
Balance Health,Fitness & Health Hacking,12,Balance
help.max.com,Media Subscriptions,12,HBO Max
ANUL COMPRA,Fraud,12,
ESTACIONAMENT,Car/Gas/Tolls/Parking/repair,11,
AGUA/GAS,Water Bill,11,
SPDAD - Sociedade Portugu,Hella's Hobbies and Sports,11,
UBER,"Uber, Lyft, Cabs, Car2Go, Public Transit, Bikeshare ",11,
ORTHOLINTO,Dental,10,Ortholinto
HOSPITAL DA LUZ,Medical + Birth,10,
HOSPITAL CUF ,Medical + Birth,10,
BOWLING CALDAS,Restaurants/Dinner Take Out,10,
McDonalds,Hella's Lunches/Fast Food,10,
ELLINOPOULA,Lessons & Learning,10,
HMGIFTS,"Birthdays, Christmas, Gifts, Parties",10,
BENETTON,Kids Clothing and Baby Gear,10,
Glovo,Hella's Lunches/Fast Food,9,
MB WAY P/ *****3133,Chris Hobbies,9,Jamine
MB WAY P/ *****3313,"Children's Enrichment Classes",9,Marg Cunha
RNE LISBOA,transit,8,
POSTO BP,Car/Gas/Tolls/Parking/repair,8,Gas
EST SERVICO,Car/Gas/Tolls/Parking/repair,8,Gas
JCLAC POSTO BLC,Medical + Birth,8,Blood Tests
MERCADONA,Groceries,8,
SEVILLA,Family Vacations,8,
UNITED      0162367927940,Family Vacations,1,
UNITED      0162367927939,Family Vacations,1,
UNITED      0162367927938,Family Vacations,1,
UNITED      0164364660306,Family Vacations,1,
AIRBNB * HMNAPBATKM,Family Vacations,1,
LEVALLOIS-PERRET,Hella Travel,8,
AEGEAN,Hella Travel,8,
COMPRA 0885 Vinted,Fraud,8,
JOAQUIM CHAVES,Medical + Birth,7,Blood Tests
LECLERC,Groceries,7,LECLERK
LEROY MERLIN,Caldas home wares etc,7,
BALANCE CALDAS,Fitness & Health Hacking,7,Balance
NETFLIX.COM,Media Subscriptions,7,Netflix
Amazon,Amazon -- already categorized individulally,7,
REPSOL,Car/Gas/Tolls/Parking/repair,6,Gas
CLINIMED,Medical + Birth,6,
MONTEPIO,Medical + Birth,6,
CUF TORRES VEDRAS,Medical + Birth,6,
KAYSDAKI,Restaurants/Dinner Take Out,6,
CLUB PADEL,Chris Hobbies,6,
LIU YUANYUAN,Caldas home wares etc,6,
WESTBIKE,Bicycle Maintenance,6,
BBL C RAINHA,Kids Clothing and Baby Gear,6,
GoFundMe,Charity/Activist Contributions,6,
Netflix.com,Media Subscriptions,6,Netflix
RODOVIARIA OESTE,transit,5,
MEDICO DA AV.,Dental,5,
COUTINHO,Car/Gas/Tolls/Parking/repair,5,Repair
A8 TORRES,Car/Gas/Tolls/Parking/repair,5,
6519 A15,Car/Gas/Tolls/Parking/repair,5,
