Transaction Date,Post Date,Description,Category,Type,Amount,Memo
2025-12-18,2025-12-18,ATM-0045 R Coronel Soei Caldas Rain ATM 0885,Junk,Sale,-235.18,D
2025-11-14,2025-11-14,ATM-0193 CTT -R Eng Dua coCaldas Rain ATM 6519,Junk,Sale,-233.16,D
2025-10-28,2025-10-28,ATM-0018 Aeroporto de L Lisboa ATM 6519,Junk,Sale,-233.06,D
2025-08-29,2025-08-29,ATM Fee Rebate,Junk,Adjustment,7.97,C
2025-08-27,2025-08-27,EUROBANK GR APLOTARIAS- CHIOS ATHENS,Junk,Sale,-235.46,D
2025-08-26,2025-08-26,CESME MARINA/IZMIR IZMIR ATHENS,Junk,Sale,-79.25,D
2025-08-21,2025-08-21,ATM-0045 R Coronel Soei Caldas Rain ATM 0885,Junk,Sale,-233.50,D
2025-08-21,2025-08-21,ATM-0045 R Coronel Soei Caldas Rain ATM 0885,Junk,Sale,-233.50,D
2025-07-26,2025-07-26,ATM-0193 CTT -R Eng Dua coCaldas Rain ATM 0885,Junk,Sale,-235.24,D
2025-06-30,2025-06-30,ATM Fee Rebate,Junk,Adjustment,3.00,C
2025-06-29,2025-06-29,Wells Fargo Ban ...313 W M Livingston EWR ,Junk,Sale,-303.00,D
2024-11-28,2024-11-28,ATM-0045 C Cultural Cal a CALDAS RAIN ATM 6519,Junk,Sale,-105.89,D
2024-11-05,2024-11-05,ATM-0193 CTT -R Eng Dua coCaldas Rain ATM 0885,Junk,Sale,-218.30,D
2024-08-30,2024-08-30,ATM-0045 R Coronel Soei Caldas Rain ATM 0885,Junk,Sale,-222.84,D
2024-06-17,2024-06-17,ATM-0193 CTT -R Eng Dua coCaldas Rain ATM 6519,Junk,Sale,-214.94,D
2024-04-30,2024-04-30,ATM Fee Rebate,Junk,Adjustment,1.92,C
2024-04-22,2024-04-22,EUROBANK GR PSIRRI ATHENS,Junk,Sale,-215.52,D
