lance,dv,desc,amount,newt,balance,usd,erate,memo,category,subcat,fragment,who
2024-01-01,2024-01-02,HELP.MAX.COM,-9.155904929999999606327065749,D,0,-9.99,1.091126,,,,,
2024-01-02,2024-01-03,MOMMASTRONG INC.,-4.582534999999999802966499374,D,0,-5.00,1.091126,,,,,
2024-01-08,2024-01-09,GOOGLE *Disney Mobile,-12.82193292999999944870026525,D,0,-13.99,1.091126,,,,,
2024-01-09,2024-01-10,NYTimes*NYTimes,-3.666027999999999842373199499,D,0,-4.00,1.091126,,,,,
2024-01-14,2024-01-15,SIX THOUSAND ISLANDS,-116.0389512699999950107176971,D,0,-126.61,1.091126,,,,,
2024-01-17,2024-01-18,ALDI CALDAS RAINHA,-45.47707733999999804463953978,D,0,-49.62,1.091126,,,,,
2024-01-17,2024-01-18,PINGO DOCE CALDAS,-112.6753705799999951553402866,D,0,-122.94,1.091126,,,,,
2024-01-17,2024-01-18,SPOTIFY,-13.73843992999999940929356512,D,0,-14.99,1.091126,,,,,
2024-01-18,2024-01-19,MCDONALDS 2,-13.86675090999999940377662710,D,0,-15.13,1.091126,,,,,
2024-01-20,2024-01-23,Hobbii,-40.06968603999999827713907052,D,0,-43.72,1.091126,,,,,
2024-01-23,2024-01-23,AUTOMATIC PAYMENT - THANK,1812.493408269999922068915765,P,0,1977.61,1.091126,,,,,
2024-01-24,2024-01-25,Canva* 04040-42632116,-3.070298449999999867987554580,D,0,-3.35,1.091126,,,,,
2024-01-24,2024-01-25,CONTINENTE BOM DIA,-63.89886803999999725256486727,D,0,-69.72,1.091126,,,,,
2024-01-25,2024-01-26,CONTINENTE BOM DIA,19.86070668999999914605680829,C,0,21.67,1.091126,,,,,
2024-02-01,2024-02-02,HELP.MAX.COM,-9.255954779999999567641211229,D,0,-9.99,1.079318,,,,,
2024-02-02,2024-02-04,MOMMASTRONG INC.,-4.632609999999999783604209824,D,0,-5.00,1.079318,,,,,
2024-02-04,2024-02-06,EVERYPAY*SKROUTZ,-451.4293140599999789130958305,D,0,-487.23,1.079318,,,,,
2024-02-05,2024-02-06,LIDL AGRADECE,-161.8819238399999924382655081,D,0,-174.72,1.079318,,,,,
2024-02-06,2024-02-07,NYTimes*NYTimes,-3.706087999999999826883367859,D,0,-4.00,1.079318,,,,,
2024-02-07,2024-02-08,JG *MACMILLAN CANCER S,-25.10874619999999882713481725,D,0,-27.10,1.079318,,,,,
2024-02-07,2024-02-08,GoFundMe,-20.93939719999999902189102841,D,0,-22.60,1.079318,,,,,
2024-02-08,2024-02-09,GOOGLE *Disney Mobile,-12.96204277999999939452457909,D,0,-13.99,1.079318,,,,,
2024-02-09,2024-02-11,POSTO BP,-42.88870337999999799660777455,D,0,-46.29,1.079318,,,,,
2024-02-10,2024-02-12,BKG*HOTEL AT BOOKING.C,-240.0896458599999887850717784,D,0,-259.13,1.079318,,,,,
2024-02-11,2024-02-12,LIDL AGRADECE,-102.7049636999999952025053318,D,0,-110.85,1.079318,,,,,
2024-02-16,2024-02-18,362Pin* PoboxTopicbox Em,-18.53043999999999913441683930,D,0,-20.00,1.079318,,,,,
2024-02-17,2024-02-18,SPOTIFY,-13.88856477999999935124542105,D,0,-14.99,1.079318,,,,,
2024-02-18,2024-02-19,Kindle Svcs*RI4IF9TP1,-0.9172567799999999571536335452,D,0,-0.99,1.079318,,,,,
2024-02-20,2024-02-21,C  A MODAS,-52.48747129999999754823569731,D,0,-56.65,1.079318,,,,,
2024-02-23,2024-02-23,AUTOMATIC PAYMENT - THANK,475.5930078199999777843753890,P,0,513.31,1.079318,,,,,
2024-02-23,2024-02-26,AMAZON MAR* 404-154771,-148.8735549599999930459048869,D,0,-160.68,1.079318,,,,,
2024-02-24,2024-02-25,Canva* 04071-30801872,-3.020461719999999858909944805,D,0,-3.26,1.079318,,,,,
2024-02-27,2024-02-28,CONTINENTE BOM DIA,-34.42029229999999839217927899,D,0,-37.15,1.079318,,,,,
2024-02-27,2024-02-28,WELLS SAUDE E OPTICA,-7.541889079999999647707653594,D,0,-8.14,1.079318,,,,,
2024-02-28,2024-02-29,Worten,-201.3795566999999905932750011,D,0,-217.35,1.079318,,,,,
2024-03-01,2024-03-03,HELP.MAX.COM,-9.190560240000000159499293773,D,0,-9.99,1.087005,,,,,
2024-03-01,2024-03-03,UNRWAUSA.ORG,-48.24354144000000083725154809,D,0,-52.44,1.087005,,,,,
2024-03-02,2024-03-03,MOMMASTRONG INC.,-4.599880000000000079829476363,D,0,-5.00,1.087005,,,,,
2024-03-05,2024-03-06,NYTimes*NYTimes,-3.679904000000000063863581090,D,0,-4.00,1.087005,,,,,
2024-03-06,2024-03-07,E LECLERC,-34.68309520000000060191425177,D,0,-37.70,1.087005,,,,,
2024-03-06,2024-03-07,ALDI CALDAS RAINHA,-17.47954400000000030335201018,D,0,-19.00,1.087005,,,,,
