lance,dv,desc,amount,newt,balance,usd,erate,memo,category,subcat,fragment,who
2024-01-02,2024-01-02,LEV ATM 7455 193 Caldas Rainha CTT -R Eng Dua,-150.00,D,3179.84,0,0,,,,,
2024-01-02,2024-01-02,COMPRA 7455 GOLDPET CALDAS RAINHCON CONTACTLESS,-28.45,D,3151.39,0,0,,,,,
2024-01-02,2024-01-02,COMPRA 7455 EST SERVICO BP CALDAS DA RAINHA CAL,-47.12,D,3104.27,0,0,,,,,
2024-01-02,2024-01-02,COMPRA 0885 PINGO DOCE CALDAS RACAL CONTACTLESS,-58.71,D,3045.56,0,0,,,,,
2024-01-02,2024-01-01,SUBSTITUICAO DE CARTAO 3525745,-15.00,D,3030.56,0,0,,,,,
2024-01-02,2024-01-01,IMPOSTO DO SELO,-0.60,D,3029.96,0,0,,,,,
2024-01-02,2024-01-02,DO OCIDENTAL SAUDE DI78637755 002544586453AN,-236.42,D,2793.54,0,0,,,,,
2024-01-02,2024-01-02,odOPT77114654 FF CALDAS 007952090100207,-25.90,D,2767.64,0,0,,,,,
2024-01-02,2024-01-02,PAG BXVAL- 7455 VIAVERDE,-12.40,D,2755.24,0,0,,,,,
2024-01-03,2024-01-03,bd PT90103750 Balance Health 00001712568,-44.90,D,2710.34,0,0,,,,,
2024-01-03,2024-01-03,COMPRA 0885 MINIPRECO 2500-198 CLD CONTACTLESS,-9.02,D,2701.32,0,0,,,,,
2024-01-03,2024-01-03,COMPRA 7455 bodsshop.com Hon USD TC 47098,-99.31,D,2602.01,0,0,,,,,
2024-01-03,2024-01-03,CUSTO DE SERVICO INTERNACIONAL,-2.98,D,2599.03,0,0,,,,,
2024-01-03,2024-01-03,IMPOSTO DO SELO,-0.12,D,2598.91,0,0,,,,,
2024-01-03,2024-01-03,compra 7455 vodafone.pt Lisboa PT,-25.00,D,2573.91,0,0,,,,,
2024-01-03,2024-01-03,LEV ATM 0885 193 Caldas Rainha CTT -R Eng Dua,-200.00,D,2373.91,0,0,,,,,
2024-01-03,2024-01-03,COMPRA 0885 FARMACIA ROSA CALDAS DA CONTACTLESS,-24.73,D,2349.18,0,0,,,,,
2024-01-04,2024-01-04,COMPRA 0885 HIPER CHINA CALDAS DA R CONTACTLESS,-6.95,D,2342.23,0,0,,,,,
2024-01-04,2024-01-04,TRF P/ Cidade Logica LDA,-550.00,D,1792.23,0,0,,,,,
2024-01-04,2024-01-04,COM.MAN.CONTA PACOTE PROGRAMA PRESTIGE 122023,-15.00,D,1777.23,0,0,,,,,
2024-01-04,2024-01-04,IMPOSTO SELO ART 17.3.4,-0.60,D,1776.63,0,0,,,,,
2024-01-05,2024-01-05,COMPRA 0885 MUNICIPIO CALDAS RAICAL CONTACTLESS,-105.00,D,1671.63,0,0,,,,,
2024-01-05,2024-01-05,COMPRA 0885 CONTINENTE BOM DIA OBID CONTACTLESS,-8.60,D,1663.03,0,0,,,,,
2024-01-05,2024-01-05,COMPRA 0885 LIDL AGRADECE CALDAS DA CONTACTLESS,-40.02,D,1623.01,0,0,,,,,
2024-01-05,2024-01-05,COMPRA 0885 RMTEJO II Torres Novas CONTACTLESS,-2.20,D,1620.81,0,0,,,,,
2024-01-08,2024-01-08,COMPRA 0885 HIPAY SAS .,-14.96,D,1605.85,0,0,,,,,
2024-01-08,2024-01-08,COMPRA 0885 CARREGAMENTOS VODAFOLISBOA,-24.00,D,1581.85,0,0,,,,,
2024-01-08,2024-01-08,00 PT02117362 Colegio Rainha CRDLO84314,-105.00,D,1476.85,0,0,,,,,
