lance,dv,desc,amount,newt,balance,usd,erate,memo,category,subcat,fragment,who
2025-01-02,2025-01-02,DD OCIDENTAL SAUDE    DI78637755 00254458645JAN,-257.95,D,1045.99,0,0,,,,,
2025-01-02,2025-01-02,DDPT77114654 FF CALDAS    007952090100207,-25.90,D,1020.09,0,0,,,,,
2025-01-02,2025-01-02,DD PT90103750 Balance Health  00001712568,-44.90,D,975.19,0,0,,,,,
2025-01-02,2025-01-02,COMPRA 6519 DR JOAQUIM CHAVES 2500- CONTACTLESS,-36.85,D,938.34,0,0,,,,,
2025-01-02,2025-01-02,PAG BXVAL- 6519 VIAVERDE,-10.00,D,928.34,0,0,,,,,
2025-01-03,2025-01-03,COMPRA 6519 PINGO DOCE CALDAS CALDA CONTACTLESS,-40.84,D,887.5,0,0,,,,,
2025-01-03,2025-01-03,COMPRA 0885 LIU YUANYUAN 2500-201 C RAINHA,-5.75,D,881.75,0,0,,,,,
2025-01-06,2025-01-04,TRF. P/O TransferWise,3009.42,P,3891.17,0,0,,,,,
2025-01-06,2025-01-05,TRF MB WAY DE FILIPA BERNARDO,9.00,C,3288.25,0,0,,,,,
2025-01-06,2025-01-06,TRF P/ Cidade Logica LDA,-611.92,D,3279.25,0,0,,,,,
2025-01-06,2025-01-06,TRF MB WAY P/ *****9181,-15.00,D,3273.25,0,0,,,,,
2025-01-06,2025-01-06,"COMPRA 6519 IFTHENPAY, LDA S M LAMAS",-8.00,D,3265.25,0,0,,,,,
2025-01-06,2025-01-06,TRF MB WAY P/ *****6234,-40.00,D,3225.25,0,0,,,,,
2025-01-06,2025-01-06,COM.MAN.CONTA PACOTE PROGRAMA PRESTIGE   122024,-15.00,D,3210.25,0,0,,,,,
2025-01-06,2025-01-06,IMPOSTO SELO ART 17.3.4,-0.60,D,3209.65,0,0,,,,,
2025-01-07,2025-01-07,DD PT61111450 CTT - AGUA/GAS  05216908821,-22.76,D,3186.89,0,0,,,,,
2025-01-07,2025-01-07,COMPRA 0885 Cais do Parque Foz do A CONTACTLESS,-85.90,D,3100.99,0,0,,,,,
2025-01-07,2025-01-07,LEV ATM 0885 193   Caldas Rainha CTT -R Eng Dua,-100.00,D,3000.99,0,0,,,,,
2025-01-07,2025-01-07,COMPRA 0885 CHILDREN S WORLD 2500-825 C. RAINHA,-30.00,D,2970.99,0,0,,,,,
2025-01-07,2025-01-07,COMPRA 0885 PINGO DOCE CALDAS CALDA CONTACTLESS,-104.50,D,2866.49,0,0,,,,,
2025-01-07,2025-01-07,COMPRA 6519 PIMPOES PISCINAS MUCALD CONTACTLESS,-79.38,D,2787.11,0,0,,,,,
2025-01-08,2025-01-08,DD PT02117362 Colegio Rainha  CRDL084187,-115.00,D,2672.11,0,0,,,,,
2025-01-08,2025-01-08,DD PT02117362 Colegio Rainha  CRDL084314,-128.00,D,2544.11,0,0,,,,,
2025-01-08,2025-01-08,COMPRA 6519 CLUB PADEL CALDAS DA RA CONTACTLESS,-6.20,D,2537.91,0,0,,,,,
2025-01-08,2025-01-08,COMPRA 6519 PQ HOSPITAL LUZ LISBOA,-2.40,D,2535.51,0,0,,,,,
2025-01-08,2025-01-08,COMPRA 6519 A8 BOMBARRAL,-5.50,D,2530.01,0,0,,,,,
2025-01-08,2025-01-08,Ordem Pagamento s/Estrangeiro   Ref.20250059653,-72.00,D,2458.01,0,0,,,,,
2025-01-09,2025-01-09,"DD PT73101243 MEO, SA         42473235217",-34.99,D,2423.02,0,0,,,,,
2025-01-09,2025-01-09,COMPRA 6519 CLINIMED OBIDOS OBIDOS  CONTACTLESS,-90.00,D,2333.02,0,0,,,,,
2025-01-09,2025-01-09,COMPRA 0885 PINGO DOCE CALDAS RACAL CONTACTLESS,-23.35,D,2309.67,0,0,,,,,
2025-01-09,2025-01-09,TRF MB WAY P/ *****4493,-45.00,D,2264.67,0,0,,,,,
2025-01-09,2025-01-09,COMPRA 0885 HOSPITAL DA LUZ SA LISBOA,-19.00,D,2245.67,0,0,,,,,
2025-01-09,2025-01-09,TRF MB WAY P/ *****3313,-40.00,D,2205.67,0,0,,,,,
2025-01-09,2025-01-09,TRF MB WAY P/ *****6234,-40.00,D,2165.67,0,0,,,,,
2025-01-09,2025-01-09,COMPRA 0885 EVDCR 2500-810 C RAINHA,-84.60,D,2081.07,0,0,,,,,
2025-01-10,2025-01-10,COMISSAO TRF MBWAY 40.00 APP MB WAY,-0.08,D,2080.99,0,0,,,,,
